image,distance_mm,true_length_mm
animal.jpeg,2103,233
bakingSoda.jpeg,2103,141
book.jpeg,2103,160
bottle.jpeg,2103,63
box.jpeg,2103,166
candle.jpeg,2103,96
candleLid.jpeg,2103,104
container.jpeg,2103,231
crosley.jpeg,2103,287
glassesBox.jpeg,2103,68
kettle.jpeg,2103,183
mug.jpeg,2103,117
notebook.jpeg,2103,138
painting.jpeg,2103,389
pencilCase.jpeg,2103,169
puzzleBox.jpeg,2103,315
rachmaninoff.jpeg,2103,213
skull.jpeg,2103,194
squarePainting.jpeg,2103,240
stapler.jpeg,2103,130
